name,OBJECTID,date,line,entries,exits,LAT,LONG
ALLERTON AV,172,03/10/2020,25,5187,2296,40.86539370000001,-73.8672655
AQUEDUCT N.COND,173,03/10/2020,A,849,1265,40.6692611,-73.83466609999999
AQUEDUCT RACETR,174,03/10/2020,A,920,129,40.6721498,-73.8356843
ASTOR PL,175,03/10/2020,6,12789,14599,40.7300939,-73.9908372
ASTORIA BLVD,176,03/10/2020,NQW,7907,7740,40.7704684,-73.9175448
ASTORIA DITMARS,177,03/10/2020,NQW,16169,14563,40.7750119,-73.91211
ATL AV-BARCLAY,178,03/10/2020,2345BDNQR,19498,17838,40.6837,-73.9788
ATL AV-BARCLAY,179,03/10/2020,BDNQR2345,19542,18177,40.6837,-73.9788
ATLANTIC AV,180,03/10/2020,L,1655,734,40.675724,-73.902969
AVENUE H,181,03/10/2020,BQ,3566,3049,40.6297445,-73.9616617
AVENUE I,182,03/10/2020,F,1774,590,40.7137509,-73.9517724
AVENUE J,183,03/10/2020,BQ,4816,2638,40.6252684,-73.9607296
AVENUE M,184,03/10/2020,BQ,4896,2444,40.6180725,-73.9593745
AVENUE N,185,03/10/2020,F,2781,968,40.8588858,-73.9342255
AVENUE P,186,03/10/2020,F,2354,996,40.6087814,-73.9729084
AVENUE U,187,03/10/2020,BQ,6416,2460,40.5990888,-73.9559929
AVENUE U,188,03/10/2020,F,1785,890,40.596062,-73.97335799999999
AVENUE U,189,03/10/2020,N,3103,2362,40.5965048,-73.97894649999999
AVENUE X,190,03/10/2020,F,2765,1682,40.5896822,-73.9742509
B'WAY-LAFAYETTE,191,03/10/2020,BDFQ6,18454,25105,40.7250151,-73.9956959
BAY 50 ST,192,03/10/2020,D,2542,781,40.5888329,-73.9838481
BAY PKWY,193,03/10/2020,D,6942,6739,40.601875,-73.993729
BAY PKWY,194,03/10/2020,F,1285,436,40.6209813,-73.9753623
BAY PKWY,195,03/10/2020,N,4876,4079,40.61188000000001,-73.98187109999999
BAY RIDGE AV,196,03/10/2020,R,7469,4576,40.634968,-74.023376
BAY RIDGE-95 ST,197,03/10/2020,R,5682,3496,40.6167174,-74.0308527
BAYCHESTER AV,198,03/10/2020,5,3939,496,40.8790983,-73.8381028
BEACH 105 ST,199,03/10/2020,AS,213,310,40.5832071,-73.8273751
BEACH 25 ST,200,03/10/2020,A,1731,2084,40.5994598,-73.76184479999999
BEACH 36 ST,201,03/10/2020,A,994,1137,40.595532,-73.7681238
BEACH 44 ST,202,03/10/2020,A,767,864,40.5929209,-73.77594839999999
BEACH 60 ST,203,03/10/2020,A,2029,1614,40.59244,-73.78928300000001
BEACH 67 ST,204,03/10/2020,A,2164,1650,40.5909714,-73.7963169
BEACH 90 ST,205,03/10/2020,AS,654,709,40.5878487,-73.8140238
BEACH 98 ST,206,03/10/2020,AS,434,464,40.5854889,-73.8203521
BEDFORD AV,207,03/10/2020,L,20868,14072,40.71772,-73.95756
BEDFORD PK BLVD,208,03/10/2020,4,5224,4563,40.8734052,-73.8902379
BEDFORD PK BLVD,209,03/10/2020,BD,7079,4100,40.8732636,-73.8871965
BEDFORD-NOSTRAN,210,03/10/2020,G,8109,5097,40.6898534,-73.9516398
BERGEN ST,211,03/10/2020,23,3677,3058,40.680833,-73.97511
BERGEN ST,212,03/10/2020,FG,10752,8010,40.6854538,-73.9913378
BEVERLEY ROAD,213,03/10/2020,BQ,3233,3183,40.6442291,-73.96449799999999
BEVERLY RD,214,03/10/2020,25,4326,803,40.6450913,-73.9489985
BLEECKER ST,215,03/10/2020,6DF,12164,5432,40.725914,-73.994659
BOROUGH HALL,216,03/10/2020,2345R,29621,20499,40.692406,-73.99015
BOROUGH HALL,217,03/10/2020,R2345,2436,1623,40.6931492,-73.9900883
BOTANIC GARDEN,218,03/10/2020,S2345,1489,2099,40.8673723,-73.8814891
BOWERY,219,03/10/2020,JZ,3230,2845,40.7201669,-73.9935279
BOWLING GREEN,220,03/10/2020,45,25048,23532,40.7048108,-74.0144596
BRIARWOOD,221,03/10/2020,EF,4920,2571,40.7096749,-73.81954309999999
BRIGHTON BEACH,222,03/10/2020,BQ,11969,7694,40.5951531,-73.9550266
BROAD CHANNEL,223,03/10/2020,AS,295,67,40.60799979999999,-73.8158045
BROAD ST,224,03/10/2020,JZ,7487,2729,40.7070097,-74.0107831
BROADWAY,225,03/10/2020,G,4557,3851,40.7055695,-73.9500836
BROADWAY,226,03/10/2020,NQW,11381,10989,40.7306065,-73.99244159999999
BROADWAY JCT,227,03/10/2020,ACJLZ,7758,7253,40.6792814,-73.9040773
BRONX PARK EAST,228,03/10/2020,25,2563,1203,40.848986,-73.8683877
BROOK AV,229,03/10/2020,6,5840,5811,40.807568,-73.919243
BROOKLYN BRIDGE,230,03/10/2020,456JZ,16851,14803,40.7128218,-74.0042836
BUHRE AV,231,03/10/2020,6,3763,3816,40.8469121,-73.8323569
BURKE AV,232,03/10/2020,25,3282,1537,40.8714516,-73.8670726
BURNSIDE AV,233,03/10/2020,4,10190,5465,40.853455,-73.90768400000002
BUSHWICK AV,234,03/10/2020,L,2055,1446,40.6823373,-73.9051413
CANAL ST,235,03/10/2020,1,5017,5039,40.7225785,-74.0061029
CANAL ST,236,03/10/2020,ACE,16460,13643,40.7207905,-74.0051616
CANAL ST,237,03/10/2020,JNQRZ6W,31664,26931,40.719528,-74.001778
CANARSIE-ROCKAW,238,03/10/2020,L,10177,1831,40.645567,-73.90256409999999
CARROLL ST,239,03/10/2020,FG,10969,4991,40.6793313,-73.9954833
CASTLE HILL AV,240,03/10/2020,6,6535,6993,40.83429599999999,-73.85168399999999
CATHEDRAL PKWY,241,03/10/2020,1,9676,6427,40.8041795,-73.9667097
CATHEDRAL PKWY,242,03/10/2020,BC,6738,3349,40.8008803,-73.958392
CENTRAL AV,243,03/10/2020,M,4525,4605,40.6978289,-73.9273632
CENTRAL PK N110,244,03/10/2020,23,7512,7454,40.798,-73.953
CHAMBERS ST,245,03/10/2020,123,18656,16701,40.7155134,-74.0092227
CHAMBERS ST,246,03/10/2020,ACE23,26234,16935,40.7143048,-74.0084412
CHAMBERS ST,247,03/10/2020,JZ456,10310,11493,40.7131034,-74.0040466
CHAUNCEY ST,248,03/10/2020,JZ,3133,1717,40.682892,-73.910454
CHRISTOPHER ST,249,03/10/2020,1,12345,12469,40.73357840000001,-74.00287279999999
CHURCH AV,250,03/10/2020,25,9446,2008,40.6495233,-73.9632839
CHURCH AV,251,03/10/2020,BQ,15462,16253,40.6495233,-73.9632839
CHURCH AV,252,03/10/2020,FG,9024,5964,40.6436845,-73.9796075
CITY / BUS,253,03/10/2020,1,14253,15102,40.7313271,-73.9824354
CITY HALL,254,03/10/2020,NRW,5891,3095,40.7135245,-74.00671009999999
CLARK ST,255,03/10/2020,23,4748,2852,40.7400595,-73.9864645
CLASSON AV,256,03/10/2020,G,5098,5223,40.6888172,-73.95985739999999
CLEVELAND ST,257,03/10/2020,J,3017,3342,40.679629,-73.885589
CLINTON-WASH AV,258,03/10/2020,C,6785,5287,40.6880915,-73.9675499
CLINTON-WASH AV,259,03/10/2020,G,5010,2713,40.6880915,-73.9675499
CONEY IS-STILLW,260,03/10/2020,DFNQ,10359,9435,40.576313,-73.968498
CORTELYOU RD,261,03/10/2020,BQ,6032,1868,40.6412697,-73.9639694
CORTLANDT ST,262,03/10/2020,RNW,15628,13472,40.71100560000001,-74.010763
COURT SQ,263,03/10/2020,7,4705,5535,40.7468031,-73.94528369999999
COURT SQ,264,03/10/2020,EMG,10252,10736,40.7468031,-73.94528369999999
COURT SQ-23 ST,265,03/10/2020,EMG,5689,2511,40.7480508,-73.94704779999999
CRESCENT ST,266,03/10/2020,JZ,4512,5104,40.68346409999999,-73.872933
CROWN HTS-UTICA,267,03/10/2020,34,24810,19603,40.6689469,-73.93183379999999
CYPRESS AV,268,03/10/2020,6,3340,2549,40.8052426,-73.9137116
CYPRESS HILLS,269,03/10/2020,J,1586,989,40.689941,-73.87255100000002
DEKALB AV,270,03/10/2020,BDNQR,18235,7975,40.6897553,-73.9811407
DEKALB AV,271,03/10/2020,L,9187,2756,40.704294,-73.919277
DELANCEY/ESSEX,272,03/10/2020,FJMZ,24725,19210,40.7185592,-73.9881894
DITMAS AV,273,03/10/2020,F,3591,2099,40.63553599999999,-73.9781422
DYCKMAN ST,274,03/10/2020,1,6506,3648,40.86549,-73.927269
DYCKMAN ST,275,03/10/2020,A,6575,188,40.86549,-73.927269
E 143/ST MARY'S,276,03/10/2020,6,1210,1446,40.8082006,-73.9078528
E 149 ST,277,03/10/2020,6,5591,5424,40.812119,-73.904099
E 180 ST,278,03/10/2020,25,7527,6928,40.841892,-73.87348899999999
EAST 105 ST,279,03/10/2020,L,3367,3598,40.651308,-73.899021
EAST BROADWAY,280,03/10/2020,F,12124,6552,40.7144029,-73.9899161
EASTCHSTER/DYRE,281,03/10/2020,5,4410,4890,40.8877548,-73.8312129
EASTN PKWY-MUSM,282,03/10/2020,23,3548,4370,40.6719938,-73.9642065
ELDER AV,283,03/10/2020,6,6473,6852,40.82858299999999,-73.87915799999999
ELMHURST AV,284,03/10/2020,MR,9290,2402,40.7416669,-73.8812555
EUCLID AV,285,03/10/2020,AC,10354,3370,40.6754013,-73.8719033
EXCHANGE PLACE,286,03/10/2020,1,13717,13689,40.71676,-74.03238
FAR ROCKAWAY,287,03/10/2020,A,4297,4624,40.6042178,-73.7549998
FLATBUSH AV-B.C,288,03/10/2020,25,20292,13463,40.630641,-73.94535479999999
FLUSHING AV,289,03/10/2020,G,2352,2549,40.6997972,-73.95005809999999
FLUSHING AV,290,03/10/2020,JM,8607,5270,40.7003285,-73.9412453
FLUSHING-MAIN,291,03/10/2020,7,48226,44069,40.7595582,-73.82992209999999
FORDHAM RD,292,03/10/2020,4,9709,2090,40.8628946,-73.9010935
FORDHAM RD,293,03/10/2020,BD,11551,6705,40.8613635,-73.897716
FOREST AVE,294,03/10/2020,M,4406,3584,40.704422,-73.903076
FOREST HILLS 71,295,03/10/2020,EFMR,24062,12980,40.721691,-73.844521
FRANKLIN AV,296,03/10/2020,2345S,11143,7134,40.670711,-73.958545
FRANKLIN AV,297,03/10/2020,ACS,5779,6154,40.6811075,-73.9556708
FRANKLIN ST,298,03/10/2020,1,4328,2829,40.7190006,-74.0066793
FREEMAN ST,299,03/10/2020,25,4328,3588,40.8301745,-73.8917088
FRESH POND RD,300,03/10/2020,M,6068,6602,40.706231,-73.895939
FT HAMILTON PKY,301,03/10/2020,D,3476,2133,40.64978079999999,-73.9757703
FT HAMILTON PKY,302,03/10/2020,FG,5727,1875,40.64978079999999,-73.9757703
FT HAMILTON PKY,303,03/10/2020,N,5628,3240,40.64978079999999,-73.9757703
FULTON ST,304,03/10/2020,2345ACJZ,51165,56075,40.709373,-74.0083258
FULTON ST,305,03/10/2020,ACJZ2345,25490,15932,40.7093627,-74.0084614
FULTON ST,306,03/10/2020,G,5854,4872,40.6870915,-73.9755609
GATES AV,307,03/10/2020,JZ,6954,3134,40.6896184,-73.9222369
GRAHAM AV,308,03/10/2020,L,8375,5609,40.714509,-73.944426
GRAND ARMY PLAZ,309,03/10/2020,23,6689,2648,40.675236,-73.971046
GRAND ST,310,03/10/2020,BD,18651,13551,40.7182003,-73.9935756
GRAND ST,311,03/10/2020,L,6210,6069,40.711977,-73.940708
GRAND-NEWTOWN,312,03/10/2020,MR,14964,9953,40.7370102,-73.8783366
GRANT AV,313,03/10/2020,A,5641,5065,40.6768777,-73.86534619999999
GRD CNTRL-42 ST,314,03/10/2020,4567S,110046,112120,40.7558611,-73.987061
GREENPOINT AV,315,03/10/2020,G,9028,6977,40.7301618,-73.9540458
GROVE STREET,316,03/10/2020,1,18839,20299,40.7804738,-74.1880839
GUN HILL RD,317,03/10/2020,25,7186,8238,40.8777392,-73.86630459999999
GUN HILL RD,318,03/10/2020,5,2330,2019,40.8777392,-73.86630459999999
HALSEY ST,319,03/10/2020,J,6111,3109,40.685682,-73.915458
HALSEY ST,320,03/10/2020,L,7395,4723,40.696095,-73.905029
HARLEM 148 ST,321,03/10/2020,3,3558,3573,40.8240504,-73.9369385
HARRISON,322,03/10/2020,1,7525,8648,41.8741534,-87.6275584
HEWES ST,323,03/10/2020,JM,3065,2738,40.7068229,-73.95342699999999
HIGH ST,324,03/10/2020,AC,8510,8070,40.6994297,-73.9914094
HOUSTON ST,325,03/10/2020,1,12835,8597,40.7286024,-74.0053168
HOWARD BCH JFK,326,03/10/2020,A,3792,2266,40.6604192,-73.8302715
HOYT ST,327,03/10/2020,23,7042,5782,40.690531,-73.985109
HOYT-SCHER,328,03/10/2020,ACG,10494,8742,40.6888,-73.9853
HUNTERS PT AV,329,03/10/2020,7,6753,5630,40.7424176,-73.9481564
HUNTS POINT AV,330,03/10/2020,6,9098,10235,40.8208037,-73.89088120000001
INTERVALE AV,331,03/10/2020,25,3241,3166,40.8222642,-73.8968106
INWOOD-207 ST,332,03/10/2020,A,9176,4267,40.8676635,-73.9212009
JACKSON AV,333,03/10/2020,25,4954,954,40.746739,-73.8909986
JAMAICA 179 ST,334,03/10/2020,F,20455,8494,40.7127866,-73.7832876
JAMAICA CENTER,335,03/10/2020,EJZ,34104,32669,40.7021447,-73.8008771
JAMAICA VAN WK,336,03/10/2020,E,4419,4871,40.70274089999999,-73.8172514
JAY ST-METROTEC,337,03/10/2020,ACF,34867,26170,40.6922507,-73.9872792
JAY ST-METROTEC,338,03/10/2020,R,3673,2709,40.69225429999999,-73.9862942
JEFFERSON ST,339,03/10/2020,L,6540,1606,40.7070754,-73.9238689
JFK JAMAICA CT1,340,03/10/2020,E,7720,5705,40.7005728,-73.8077071
JKSN HT-ROOSVLT,341,03/10/2020,EFMR7,45198,36471,40.746739,-73.8909986
JOURNAL SQUARE,342,03/10/2020,1,20903,20361,40.73265,-74.0626901
JUNCTION BLVD,343,03/10/2020,7,20816,21849,40.749203,-73.8693365
JUNIUS ST,344,03/10/2020,3,2452,3171,40.6634442,-73.90291169999999
KEW GARDENS,345,03/10/2020,EF,23395,23378,40.7141955,-73.8309659
KINGS HWY,346,03/10/2020,BQ,17739,15955,40.60867349999999,-73.9578112
KINGS HWY,347,03/10/2020,F,3472,3376,40.60867349999999,-73.9578112
KINGS HWY,348,03/10/2020,N,4399,4611,40.60505209999999,-73.9805643
KINGSBRIDGE RD,349,03/10/2020,4,9350,5554,40.8677601,-73.89730279999999
KINGSBRIDGE RD,350,03/10/2020,BD,8005,6736,40.8662419,-73.8939541
KINGSTON AV,351,03/10/2020,3,4240,3868,40.6692845,-73.9422927
KINGSTON-THROOP,352,03/10/2020,C,6233,5886,40.6798265,-73.9411294
KNICKERBOCKER,353,03/10/2020,M,4673,5294,40.6987489,-73.9197228
KOSCIUSZKO ST,354,03/10/2020,J,5399,2101,40.6932868,-73.9288263
